created_at,ticker,station,probability,fair_yes_cents,best_yes_bid_cents,best_yes_ask_cents,spread_cents,limit_price_cents,requested_quantity,filled_quantity,average_price_cents,risk_allowed,risk_reasons,outcome,brier_score,resolved_at,forecast_max_f,adjusted_mean_f,sigma_f,forecast_age_minutes,metar_age_minutes,threshold_f,comparison,upper_f
2026-05-25T02:56:21.852377+00:00,KXHIGHCHI-26MAY24-T79,KORD,0.8008050457526285,80,,1,,1,0,0,,0,"[""spread_too_wide""]",,,,82.0,82.00000000000001,2.0,50.147358000000004,0.0023966333333333336,,,
2026-05-25T02:56:21.922793+00:00,KXHIGHCHI-26MAY24-T72,KORD,0.15280499861928043,15,,1,,1,0,0,,0,"[""edge_below_threshold"", ""spread_too_wide""]",,,,82.0,82.00000000000001,2.0,50.148541316666666,0.0035799666666666663,,,
2026-05-25T02:56:22.078093+00:00,KXHIGHDEN-26MAY25-T87,KDEN,0.2838545830986763,28,2,3,1,3,166,166,3.0,1,[],,,,85.0,85.0,3.5,27.51775915,0.00024006666666666666,,,
2026-05-25T02:56:22.139544+00:00,KXHIGHDEN-26MAY25-T80,KDEN,0.07656372550983487,8,1,2,1,2,0,0,,0,"[""edge_below_threshold""]",,,,85.0,85.0,3.5,27.5188311,0.001312,,,
2026-05-25T02:56:22.205898+00:00,KXHIGHDEN-26MAY24-T86,KDEN,0.3642583607558172,36,,1,,1,0,0,,0,"[""spread_too_wide""]",,,,85.0,85.0,2.0,27.51986855,0.002349466666666667,,,
2026-05-25T02:56:22.272499+00:00,KXHIGHDEN-26MAY24-T79,KDEN,0.1464708799430407,15,,1,,1,0,0,,0,"[""edge_below_threshold"", ""spread_too_wide""]",,,,85.0,85.0,2.0,27.521023133333333,0.0035040500000000003,,,
2026-05-25T02:56:22.429015+00:00,KXHIGHLAX-26MAY25-T70,KLAX,0.07656372550983481,8,3,4,1,4,0,0,,0,"[""edge_below_threshold""]",,,,65.0,65.0,3.5,5.25698475,0.00021683333333333334,,,
2026-05-25T02:56:22.493674+00:00,KXHIGHLAX-26MAY25-T63,KLAX,0.2838545830986763,28,,1,,1,0,0,,0,"[""spread_too_wide""]",,,,65.0,65.0,3.5,5.258056133333333,0.0012882,,,
2026-05-25T02:56:22.557703+00:00,KXHIGHLAX-26MAY24-T69,KLAX,0.15468371120370472,15,,1,,1,0,0,,0,"[""edge_below_threshold"", ""spread_too_wide""]",,,,65.0,65.0,2.0,5.2591123,0.0023444000000000004,,,
2026-05-25T02:56:22.623097+00:00,KXHIGHLAX-26MAY24-T62,KLAX,0.18656151534352927,19,,1,,1,0,0,,0,"[""spread_too_wide""]",,,,65.0,65.0,2.0,5.260189816666666,0.0034219,,,
2026-05-25T17:30:46.384256+00:00,KXHIGHNY-26MAY26-T84,KNYC,0.01,1,,1,,1,0,0,,0,"[""edge_below_threshold"", ""spread_too_wide""]",,,,69.1,69.1,3.5,0.23949005,0.009155966666666666,,,
2026-05-25T17:30:46.448993+00:00,KXHIGHNY-26MAY26-T77,KNYC,0.9880004251683315,99,3,5,2,5,100,84,5.0,1,[],,,,69.1,69.1,3.5,0.24060065,0.010266550000000001,,,
2026-05-25T17:30:46.512183+00:00,KXHIGHNY-26MAY25-T79,KNYC,0.0913618479479845,9,,1,,1,0,0,,0,"[""edge_below_threshold"", ""spread_too_wide""]",,,,69.1,69.1,2.0,0.24166306666666668,0.01132895,,,
2026-05-25T17:30:46.576271+00:00,KXHIGHNY-26MAY25-T72,KNYC,0.8485445709759437,85,19,21,2,21,0,0,,0,"[""existing_paper_position""]",1,0.08057342434612332,2026-05-25T02:34:04.023819+00:00,69.1,69.1,2.0,0.24280343333333335,0.012469316666666667,,,
2026-05-25T17:30:46.918312+00:00,KXHIGHCHI-26MAY26-T90,KORD,0.053232733658762355,5,1,3,2,3,0,0,,0,"[""edge_below_threshold""]",,,,84.35,84.35000000000001,3.5,28.34843545,0.004032933333333333,,,
2026-05-25T17:30:46.989372+00:00,KXHIGHCHI-26MAY26-T83,KORD,0.3498541407917502,35,2,4,2,4,21,21,4.0,1,[],,,,84.35,84.35000000000001,3.5,28.349595216666668,0.0051927,,,
2026-05-25T17:30:47.054378+00:00,KXHIGHCHI-26MAY25-T89,KORD,0.09241948498967405,9,,1,,1,0,0,,0,"[""edge_below_threshold"", ""spread_too_wide""]",,,,84.35,84.35000000000001,2.0,28.35068258333333,0.006280083333333334,,,
2026-05-25T17:30:47.115405+00:00,KXHIGHCHI-26MAY25-T82,KORD,0.1838918446550098,18,1,3,2,3,0,0,,0,"[""existing_paper_position""]",,,,84.35,84.35000000000001,2.0,28.351788666666668,0.007386149999999999,,,
2026-05-25T17:30:47.435766+00:00,KXHIGHDEN-26MAY26-T84,KDEN,0.6658824291023753,67,,2,,2,0,0,,0,"[""spread_too_wide""]",,,,85.5,85.5,3.5,53.7070287,0.0036590999999999998,,,
